,median_mz(Da),IQR_mz(ppm),Q1_RT(s),median_RT(s),Q3_RT(s),N_samples,N_ms2-spectra,Q1_silhouette,median_silhouette,Q3_silhouette,Q1_intramodule_cosine,median_intramodule_cosine,Q3_intramodule_cosine,min_mz,max_mz,min_RT(s),max_RT(s),min_silhouette,max_silhouette,min_intramodule_cosine,max_intramodule_cosine,feat_id,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X
0,245.0781752822625,0.4695230446442183,217.7662695894,221.65478112795,223.35622742274,18.0,32.0,0.44931567795844696,0.7733187552919022,0.7820506932242282,0.5929232835769653,0.6983217597007751,0.9809711575508118,245.07796604154152,245.0782991071601,216.343167890073,227.687211740955,0.2603473360934037,0.785965145624623,0.44847309589385986,0.9905158877372742,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,245.078171684278,0.5666125957136467,217.80340018368,221.6100702534,223.2043955574,8.0,15.0,0.06475231478394253,0.4705278004319856,0.5503954145982588,0.24100655317306519,0.6240447163581848,0.6953301429748535,245.07805087002342,245.0783269279456,216.63984735109202,228.471700192476,-0.05292930867590171,0.5636432857707864,0.0,0.8184005618095398,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,245.11289215087902,0.6536469138420059,44.99010493851,54.30222168066,65.155228103175,2.0,8.0,0.9532220810651779,0.9552071988582611,0.9582740366458893,0.9474868178367615,0.9560050964355469,0.9620863199234009,245.11264801025385,245.11296005249054,32.807063246712005,72.86671476461099,0.9488872647285461,0.9593575060367584,0.9406942129135132,0.9645786285400391,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
3,245.115432739258,2.365554781784455,179.85912516209999,181.26871731378,183.00053312871,6.0,7.0,0.9969552159309387,0.9973127245903015,0.9977380037307739,0.9955334663391113,0.9984899163246155,0.9989743232727051,245.11483559941578,245.11601867675762,179.64360635376602,184.838401723842,0.9951013684272766,0.9980486273765564,0.9913798570632935,0.9991055727005005,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
4,245.12586975097702,0.3146960072140596,128.346156323925,129.27492215727,129.97223689653,8.0,8.0,0.893641784787178,0.9188911616802216,0.9213318377733231,0.8830593228340149,0.9099963903427124,0.9478254318237305,245.1257329313684,245.1259719628569,128.025113392836,130.125719965458,0.8766965627670288,0.9276642024517059,0.8423407077789307,0.9719316959381104,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,245.138115223388,0.5607649360475229,105.05178358653001,213.99701025582,441.59427919482,24.0,1199.0,0.8557043373584747,0.8953410983085632,0.9073219001293182,0.7776157855987549,0.9390290975570679,0.9776684641838074,245.1379254722918,245.138275146484,24.373280120862002,521.5352425108199,0.6717268109321595,0.9099825263023377,0.4979267120361328,0.990966796875,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,245.185775756836,0.5601022370965487,87.02804567909999,87.53403427698,88.31309619045,3.0,3.0,0.8009921312332153,0.8263558149337769,0.8334342241287231,0.7685500383377075,0.7897853255271912,0.8658761978149414,245.1855560302735,245.1858032226562,86.62325480079599,88.936345721226,0.7857739210128785,0.8376812696456909,0.7614715695381165,0.8912398219108582,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,245.229354858398,0.5679877967853799,432.89307412005,469.31761815642005,503.14045592641503,24.0,618.0,0.24465499073266983,0.6056259572505951,0.6506284028291702,0.0,0.4198281764984131,0.8928834795951843,245.229187011719,245.229537963867,405.838080097191,531.054699970257,4.320366897445639e-05,0.6581393718719483,0.0,0.9757583141326904,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,245.229339599609,0.4977802133401973,15.81647887326,39.18078758810999,55.280067230250005,24.0,264.0,0.0005139196291565895,0.35858945548534393,0.4860890358686447,0.0,0.0,0.607265293598175,245.2292021969915,245.22949330839924,4.4267517695550005,72.081549979227,0.0,0.5035983681678772,0.0,0.8424909114837646,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,246.141525268555,0.7439032028667917,439.7335040817,471.45113923644,504.4484632263,6.0,65.0,0.927592396736145,0.9421898126602173,0.951927661895752,0.9218519926071167,0.9424185156822205,0.9592415690422058,246.1413604736328,246.1417175292972,411.128179384236,532.7234164962839,0.9082365751266479,0.9577052116394043,0.9005481004714966,0.9716612100601196,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
10,246.141448974609,0.37195171470271954,6.04831411932,11.40751626588,11.45782330134,2.0,5.0,0.8519481420516968,0.8689935207366943,0.8696800470352173,0.8486114144325256,0.8677347898483276,0.8966330885887146,246.1413360595704,246.1415740966796,6.005003000232,43.06590950583599,0.8513623476028442,0.8839948177337646,0.8339136242866516,0.8994385600090027,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,246.141418457031,0.20571780869088255,193.70852538441,214.48829927541,219.346728647715,4.0,6.0,0.9851608723308886,0.9873936915771857,0.9884559094808486,0.992360532283783,0.9962441325187683,0.997221827507019,246.14135360717773,246.14159275440275,186.938301290025,224.277024889935,0.978006543075747,0.989374776288456,0.9861266613006592,0.9980327486991882,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
12,246.1486438707785,0.43393098304960626,160.951599741915,162.20843126871,163.48630102966501,9.0,10.0,0.9250090569257736,0.9321664571762085,0.9417978972196579,0.8958341479301453,0.928028404712677,0.9623051285743713,246.14834046924497,246.14875259399383,112.721100462453,165.272907615663,0.9050129532814026,0.9469114005565643,0.8673831224441528,0.9821052551269531,12.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,246.1681213378905,0.8987859212493139,163.530445123665,163.60759213065,165.09739294146001,3.0,4.0,0.9993973970413208,0.9994667768478394,0.99952831864357,0.9993648529052734,0.9994185566902161,0.9995704293251038,246.16794128417982,246.16832733154334,163.468215585693,168.549991608612,0.9993685364723206,0.9995430707931519,0.9992685317993164,0.9997081756591797,13.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,246.169387817383,0.06198491673130406,156.01196208096002,156.25789501764,156.50735261535,3.0,3.0,0.9995319843292236,0.9995336532592773,0.9995917081832886,0.9994722604751587,0.9996463656425476,0.9996513724327087,246.1693603515628,246.169387817383,155.815215731616,156.706918693518,0.9995309829711914,0.9996265411376953,0.9994142055511475,0.9996530413627625,14.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,246.242568969727,0.49416799654951593,209.69859864807,210.31863620376,210.70457127189,21.0,23.0,0.9521883130073547,0.9587308764457703,0.9656147658824921,0.9396970272064209,0.9889535307884216,0.9960139989852905,246.2423088751933,246.24267578125,208.829722763076,214.31192545987798,0.941366684436798,0.9664409279823303,0.8283422589302063,0.9981163144111633,15.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,246.94367980957,0.5097721485216721,393.92292043065004,394.22141661738,394.379558111205,24.0,24.0,0.9760210365056992,0.978480339050293,0.9805385768413544,0.9607573747634888,0.9931385517120361,0.9972079396247864,246.9434665077747,246.9439169376993,393.42000321246303,394.638352609644,0.9404908657073975,0.9818043947219849,0.8971319198608398,0.9985620975494385,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,247.093841552734,0.7719126539069443,168.21570768453,168.72976925466,168.84864118194,7.0,7.0,0.9664595344250745,0.972016813594291,0.9739942784486366,0.9779465198516846,0.9898367524147034,0.9953054785728455,247.0936981201174,247.0939956665039,167.941399742148,169.664794994364,0.927920086966353,0.9756095182084806,0.9654637575149536,0.9962196350097656,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
18,247.107513427734,0.40137237276081733,164.1114641676,164.16537811854,164.81232168770998,3.0,3.0,0.9664037763799178,0.9699814568650893,0.9703628598686314,0.9803127646446228,0.9830322265625,0.9866461157798767,247.1074859619138,247.107664489746,164.06833300684798,165.329876543046,0.9642571680888149,0.9705917016707566,0.9794062972068787,0.9878507256507874,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,247.10751987632,0.30828948683369006,169.67320766544,170.04088308906,170.49679913616,3.0,3.0,0.38083579219470726,0.420830482223415,0.5001990376570349,0.7969663739204407,0.8595427870750427,0.8680253028869629,247.10745914095222,247.1075962661231,169.379067326544,170.86153197384002,0.3568389781774826,0.5478201709172068,0.7761075496673584,0.8708527684211731,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,247.10758041932598,0.5050222216214916,149.05581351615,153.57384123897,157.83655544616,4.0,10.0,0.8611362924695468,0.8873681758449697,0.9178424807422458,0.9514672160148621,0.9642900824546814,0.9735583066940308,247.10744451946906,247.10766461358165,148.14098279571,159.608094705114,0.838115273065638,0.9228171521878687,0.9421734809875488,0.988946795463562,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
